ano,sigla_uf,id_municipio,ibc,cobertura_pop_4g5g,fibra,densidade_smp,densidade_scm,nivel_conectividade
2024,RO,1100296,49.92,62.9831,100,44,23.87,Muito Alto
2024,AC,1200351,16.28,30.347,0,36.72,8.04,Muito Alto
2024,AM,1300839,29.17,50.9133,50,26.62,0.65,Muito Alto
2024,AM,1302207,20.06,53.331,0,36.33,5.85,Muito Alto
2024,PA,1501204,34.08,52.82,100,20.46,2.85,Muito Alto
2024,PA,1505908,20.54,44.8193,0,32.96,7.69,Muito Alto
2024,TO,1707702,33.71,58.2097,50,49.99,1.85,Muito Alto
2024,TO,1711506,45.29,50.8875,100,41.38,12.93,Muito Alto
2024,TO,1717008,35.01,68.5485,50,45.65,2.88,Muito Alto
2024,MA,2101731,40.34,66.4865,100,30.83,6.4,Muito Alto
2024,MA,2104107,44.39,62.9898,100,49.06,4.02,Muito Alto
2024,MA,2109007,53.05,81.0044,100,55.71,26.19,Muito Alto
2024,PI,2206951,39.4,50.1991,50,53.64,0.35,Muito Alto
2024,PI,2209708,39.94,44.8935,100,47.82,10.04,Muito Alto
2024,PI,2210003,47.18,71.7456,100,50.83,28.11,Muito Alto
2024,PI,2210052,40.8,63.5476,50,49.56,0.1,Muito Alto
2024,CE,2303501,65.35,95.4305,100,57.6,43.73,Muito Alto
2024,CE,2303659,41.15,65.4385,50,35.09,35.15,Muito Alto
2024,CE,2304707,48.95,65.3529,100,32.86,9.14,Muito Alto
2024,CE,2311959,37.75,60.2742,50,31.04,4.81,Muito Alto
2024,RN,2401651,36.42,62.5172,0,19.24,14.71,Muito Alto
2024,RN,2408102,80.11,99.9986,100,75.13,70.2,Muito Alto
2024,RN,2411403,31.05,47.7975,50,34.97,6.79,Muito Alto
2024,PB,2502706,47.49,97.986,0,53.57,0.18,Muito Alto
2024,PB,2503555,29.5,38.4626,0,25.9,0.07,Muito Alto
2024,PB,2512077,50.94,91.0633,50,36.96,23.42,Muito Alto
2024,PB,2513109,29.93,56.2994,0,27.62,18.41,Muito Alto
2024,PE,2605202,61.95,93.4749,100,56.24,32.36,Muito Alto
2024,PE,2605509,49.74,99.4585,50,31.31,24,Muito Alto
2024,PE,2606507,25.37,52.8642,0,58.23,3.41,Muito Alto
2024,PE,2606903,36.65,63.8713,0,35.86,0.73,Muito Alto
2024,PE,2613701,68.4,99.3649,100,55.13,28.1,Muito Alto
2024,PE,2616100,27.31,58.3722,0,24.69,21.37,Muito Alto
2024,AL,2707107,45.68,81.0416,50,47.59,12.64,Muito Alto
2024,BA,2901155,60.08,91.9118,100,80.12,18.1,Muito Alto
2024,BA,2902401,41.07,79.7963,50,45.08,12.53,Muito Alto
2024,BA,2904209,35.36,48.1374,50,36.13,1.71,Muito Alto
2024,BA,2906824,28.42,61.4003,0,44.65,0.21,Muito Alto
2024,BA,2918506,50.76,83.426,100,42.98,19.62,Muito Alto
2024,BA,2926202,22.85,52.5052,0,31.79,10.01,Muito Alto
2024,BA,2930006,22.37,42.0995,0,25.92,0.86,Muito Alto
2024,BA,2931608,30.68,56.0438,50,32.39,4.13,Muito Alto
2024,MG,3101003,40.47,85.921,50,41.69,14.74,Muito Alto
2024,MG,3102605,57.75,90.895,50,58.51,61.21,Muito Alto
2024,MG,3110905,47.1,96.3774,0,55.39,15.69,Muito Alto
2024,MG,3115409,39.68,58.2781,0,45.14,5.97,Muito Alto
2024,MG,3125606,31.09,76.8789,0,44.9,9.48,Muito Alto
2024,MG,3136801,36.72,74.9106,0,40.59,0.92,Muito Alto
2024,MG,3139201,54.62,75.0703,100,48.38,28.67,Muito Alto
2024,MG,3149903,70.14,97.9864,100,63.69,61.67,Muito Alto
2024,MG,3152402,51.91,71.4009,100,46.79,8.87,Muito Alto
2024,MG,3160702,72.09,96.1875,100,56.61,66.22,Muito Alto
2024,MG,3161106,53.17,83.2654,100,53.7,6.87,Muito Alto
2024,MG,3162252,32.07,67.6426,0,47.35,2.42,Muito Alto
2024,MG,3162658,38.39,71.6677,0,43.12,0.43,Muito Alto
2024,MG,3163300,34.55,74.6998,0,48.44,5.36,Muito Alto
2024,ES,3201159,55.34,63.6454,100,50.56,30.71,Muito Alto
2024,RJ,3301603,60.09,76.666,100,48.93,40.62,Muito Alto
2024,RJ,3301801,67.37,84.3274,100,61.31,3.48,Muito Alto
2024,SP,3503109,69.44,93.5156,100,52.56,65.21,Muito Alto
2024,SP,3507407,67.52,96.8684,100,65.33,65.7,Muito Alto
2024,SP,3508009,58.82,85.776,100,53.44,58.04,Muito Alto
2024,SP,3508702,59.06,79.2854,100,52.5,40.57,Muito Alto
2024,SP,3511300,68.77,91.689,100,64.5,61.65,Muito Alto
2024,SP,3519253,54.56,68.3914,100,34.02,23.01,Muito Alto
2024,SP,3520608,63.45,96.238,50,66,53.17,Muito Alto
2024,SP,3521606,57.37,97.5349,100,48.85,28.55,Muito Alto
2024,SP,3523701,69.27,90.3133,100,78.52,67.31,Muito Alto
2024,SP,3525201,80.01,99.4472,100,79.22,74.15,Muito Alto
2024,SP,3525706,67.27,97.7111,100,64.81,57.17,Muito Alto
2024,SP,3525805,63.73,98.5387,100,54.05,14.33,Muito Alto
2024,SP,3530409,58.44,95.0773,50,62.27,34.53,Muito Alto
2024,SP,3532306,56.88,68.1085,50,57.36,9.95,Muito Alto
2024,SP,3535101,66.11,99.7692,100,62.76,34.84,Muito Alto
2024,SP,3536109,78.26,95.5331,100,65.59,100,Muito Alto
2024,SP,3549607,58.63,81.7837,50,55.69,66.12,Muito Alto
2024,SP,3549805,79.86,99.987,100,76.08,81.21,Muito Alto
2024,SP,3552809,73.18,100,100,62.04,61.71,Muito Alto
2024,SP,3556602,65.65,95.3653,100,55.61,24.04,Muito Alto
2024,PR,4101507,74.69,99.1601,100,63.99,68.09,Muito Alto
2024,PR,4103206,63.22,90.0253,100,65.11,11.12,Muito Alto
2024,PR,4103503,67.03,92.5294,100,61.28,16.48,Muito Alto
2024,PR,4106852,62.01,69.1432,100,70.47,11.91,Muito Alto
2024,PR,4109500,37.54,56.2775,0,46.68,2.44,Muito Alto
2024,PR,4114609,71.95,93.9317,100,61.9,82.34,Muito Alto
2024,PR,4117701,63.84,76.5277,100,58.03,45.51,Muito Alto
2024,PR,4119954,79.43,95.7116,100,91.23,58.26,Muito Alto
2024,PR,4125407,47.02,72.3876,50,41.25,19.88,Muito Alto
2024,PR,4125753,62.61,87.7662,50,51.45,43.99,Muito Alto
2024,PR,4126009,65.75,96.6545,100,51.53,35.9,Muito Alto
2024,SC,4200408,57.99,62.574,100,52.21,54.75,Muito Alto
2024,SC,4201802,55.24,72.8109,100,20.96,39.83,Muito Alto
2024,SC,4206603,71.65,85.7468,100,68.23,53.28,Muito Alto
2024,SC,4207700,55.11,54.6416,100,47,64.07,Muito Alto
2024,SC,4210506,75.49,95.2394,100,64.55,79.39,Muito Alto
2024,SC,4211603,79.06,92.581,100,86.86,81.26,Muito Alto
2024,SC,4211652,65.07,55.8812,100,85.32,9.36,Muito Alto
2024,SC,4215653,60.61,84.4765,50,81.34,56.3,Muito Alto
2024,SC,4218905,66.3,70.7199,100,65.59,100,Muito Alto
2024,SC,4219705,64.46,91.5879,100,59.36,35.04,Muito Alto
